Scientific_name,English_name_AviList,Portuguese (Brazil),IUCN_Red_List_Category
Falco tinnunculus alexandri,,,
Falco tinnunculus rupicolaeformis,,,
Falco tinnunculus archeri,,,
Falco tinnunculus rufescens,,,
Falco sparverius,American Kestrel,quiriquiri,LC
Falco sparverius sparverius,,,
Falco sparverius paulus,,,
Falco sparverius peninsularis,,,
Falco sparverius tropicalis,,,
Falco sparverius nicaraguensis,,,
Falco sparverius sparverioides,,,
Falco sparverius dominicensis,,,
Falco sparverius caribaearum,,,
Falco sparverius brevipennis,,,
Falco sparverius isabellinus,,,
Falco sparverius ochraceus,,,
Falco sparverius caucae,,,
Falco sparverius aequatorialis,,,
Falco sparverius peruvianus,,,
Falco sparverius cinnamominus,,,
Falco sparverius fernandensis,,,
Falco sparverius cearae,,,
Falco vespertinus,Red-footed Falcon,falcão-vespertino,VU
Falco amurensis,Amur Falcon,falcão-do-amur,LC
Falco columbarius,Merlin,esmerilhão,LC
Falco columbarius subaesalon,,,
Falco columbarius aesalon,,,
Falco columbarius insignis,,,
Falco columbarius pacificus,,,
Falco columbarius pallidus,,,
Falco columbarius lymani,,,
Falco columbarius columbarius,,,
Falco columbarius suckleyi,,,
Falco columbarius richardsonii,,,
Falco ardosiaceus,Grey Kestrel,francelho-cinzento,LC
Falco dickinsoni,Dickinson's Kestrel,dickinson's kestrel,LC
Falco berigora,Brown Falcon,brown falcon,LC
Falco berigora novaeguineae,,,
Falco berigora berigora,,,
Falco deiroleucus,Orange-breasted Falcon,falcão-de-peito-laranja,NT
Falco rufigularis,Bat Falcon,cauré,LC
Falco rufigularis petoensis,,,
Falco rufigularis rufigularis,,,
Falco rufigularis ophryophanes,,,
Falco longipennis,Australian Hobby,ógea-australiana,LC
Falco longipennis hanieli,,,
Falco longipennis longipennis,,,
Falco longipennis murchisonianus,,,
Falco severus,Oriental Hobby,oriental hobby,LC
Falco eleonorae,Eleonora's Falcon,falcão-da-rainha,LC
Falco concolor,Sooty Falcon,falcão-cinzento,VU
Falco cuvierii,African Hobby,ógea-africana,LC
Falco subbuteo,Eurasian Hobby,falcão-taperuçu,LC
Falco subbuteo subbuteo,,,
Falco subbuteo streichi,,,
Falco novaeseelandiae,New Zealand Falcon,new zealand falcon,LC
Falco femoralis,Aplomado Falcon,falcão-de-coleira,LC
Falco femoralis septentrionalis,,,
Falco femoralis femoralis,,,
Falco femoralis pichinchae,,,
Falco chicquera,Red-necked Falcon,red-necked falcon,NE
Falco chicquera chicquera,,,
Falco chicquera ruficollis,,,
Falco chicquera horsbrughi,,,
Falco mexicanus,Prairie Falcon,prairie falcon,LC
Falco hypoleucos,Grey Falcon,gray falcon,VU
Falco fasciinucha,Taita Falcon,taita falcon,VU
Falco peregrinus,Peregrine Falcon,falcão-peregrino,LC
Falco peregrinus tundrius,,,
Falco peregrinus pealei,,,
Falco peregrinus anatum,,,
Falco peregrinus cassini,,,
Falco peregrinus peregrinus,,,
Falco peregrinus calidus,,,
Falco peregrinus japonensis,,,
Falco peregrinus brookei,,,
Falco peregrinus peregrinator,,,
Falco peregrinus furuitii,,,
Falco peregrinus madens,,,
Falco peregrinus minor,,,
Falco peregrinus radama,,,
Falco peregrinus ernesti,,,
Falco peregrinus macropus,,,
Falco peregrinus nesiotes,,,
Falco peregrinus babylonicus,,,
Falco peregrinus pelegrinoides,,,
Falco biarmicus,Lanner Falcon,alfaneque,LC
Falco biarmicus feldeggii,,,
Falco biarmicus erlangeri,,,
Falco biarmicus tanypterus,,,
Falco biarmicus abyssinicus,,,
Falco biarmicus biarmicus,,,
Falco jugger,Laggar Falcon,laggar falcon,NT
Falco subniger,Black Falcon,black falcon,LC
Falco rusticolus,Gyrfalcon,gerifalte,LC
Falco cherrug,Saker Falcon,sacre,EN
Falco cherrug cherrug,,,
Falco cherrug coatsi,,,
Falco cherrug hendersoni,,,
Falco cherrug milvipes,,,
Psittaciformes,,,
Strigopidae,,,
Strigops,,,
Strigops habroptilus,Kakapo,kakapo,CR
Nestor,,,
Nestor notabilis,Kea,kea,EN
Nestor productus,Norfolk Kaka,norfolk island kaka,EX
Nestor meridionalis,New Zealand Kaka,new zealand kaka,VU
Nestor meridionalis septentrionalis,,,
Nestor meridionalis meridionalis,,,
Cacatuidae,,,
Calyptorhynchus,,,
Calyptorhynchus lathami,Glossy Black Cockatoo,glossy black-cockatoo,VU
Calyptorhynchus lathami erebus,,,
Calyptorhynchus lathami lathami,,,
Calyptorhynchus lathami halmaturinus,,,
Calyptorhynchus banksii,Red-tailed Black Cockatoo,red-tailed black-cockatoo,LC
Calyptorhynchus banksii naso,,,
Calyptorhynchus banksii escondidus,,,
Calyptorhynchus banksii graptogyne,,,
Calyptorhynchus banksii samueli,,,
Calyptorhynchus banksii banksii,,,
Zanda,,,
Zanda funerea,Yellow-tailed Black Cockatoo,yellow-tailed black-cockatoo,LC
Zanda funerea funerea,,,
Zanda funerea whiteae,,,
Zanda funerea xanthanota,,,
Zanda latirostris,Carnaby's Black Cockatoo,carnaby's black-cockatoo,EN
Zanda baudinii,Baudin's Black Cockatoo,baudin's black-cockatoo,CR
Nymphicus,,,
Nymphicus hollandicus,Cockatiel,caturra,LC
Probosciger,,,
Probosciger aterrimus,Palm Cockatoo,palm cockatoo,NT
Probosciger aterrimus stenolophus,,,
Probosciger aterrimus goliath,,,
Probosciger aterrimus aterrimus,,,
Probosciger aterrimus macgillivrayi,,,
Callocephalon,,,
Callocephalon fimbriatum,Gang-gang Cockatoo,gang-gang cockatoo,VU
Eolophus,,,
Eolophus roseicapilla,Galah,galah,LC
Eolophus roseicapilla albiceps,,,
Eolophus roseicapilla kuhli,,,
Eolophus roseicapilla roseicapilla,,,
Cacatua,,,
Cacatua leadbeateri,Pink Cockatoo,pink cockatoo,LC
Cacatua leadbeateri mollis,,,
Cacatua leadbeateri leadbeateri,,,
Cacatua haematuropygia,Red-vented Cockatoo,philippine cockatoo,CR
Cacatua goffiniana,Tanimbar Corella,cacatua-de-goffin,NT
Cacatua ducorpsii,Solomons Corella,solomons corella,LC
Cacatua pastinator,Western Corella,western corella,LC
Cacatua pastinator pastinator,,,
Cacatua pastinator derbyi,,,
Cacatua sanguinea,Little Corella,little corella,LC
Cacatua sanguinea transfreta,,,
Cacatua sanguinea sanguinea,,,
Cacatua sanguinea westralensis,,,
Cacatua sanguinea gymnopis,,,
Cacatua sanguinea normantoni,,,
Cacatua tenuirostris,Long-billed Corella,long-billed corella,LC
Cacatua alba,White Cockatoo,white cockatoo,EN
Cacatua ophthalmica,Blue-eyed Cockatoo,blue-eyed cockatoo,VU
Cacatua moluccensis,Salmon-crested Cockatoo,salmon-crested cockatoo,EN
Cacatua sulphurea,Yellow-crested Cockatoo,catatua-de-crista-amarela,CR
Cacatua sulphurea sulphurea,,,
Cacatua sulphurea abbotti,,,
Cacatua sulphurea djampeana,,,
Cacatua sulphurea occidentalis,,,
Cacatua sulphurea parvula,,,
Cacatua sulphurea paulandrewi,,,
Cacatua citrinocristata,Citron-crested Cockatoo,citron-crested cockatoo,CR
Cacatua galerita,Sulphur-crested Cockatoo,sulphur-crested cockatoo,LC
Cacatua galerita triton,,,
Cacatua galerita eleonora,,,
Cacatua galerita fitzroyi,,,
Cacatua galerita galerita,,,
Psittacidae,,,
Psittacus,,,
Psittacus timneh,Timneh Parrot,timneh parrot,EN
Psittacus erithacus,Grey Parrot,papagaio-cinzento,EN
Psittacus erithacus erithacus,,,
Psittacus erithacus princeps,,,
Poicephalus,,,
Poicephalus fuscicollis,Brown-necked Parrot,brown-necked parrot,LC
Poicephalus fuscicollis fuscicollis,,,
Poicephalus fuscicollis suahelicus,,,
Poicephalus robustus,Cape Parrot,cape parrot,VU
Poicephalus gulielmi,Red-fronted Parrot,red-fronted parrot,LC
Poicephalus gulielmi fantiensis,,,
Poicephalus gulielmi gulielmi,,,
Poicephalus gulielmi massaicus,,,
Poicephalus meyeri,Meyer's Parrot,meyer's parrot,LC
Poicephalus meyeri meyeri,,,
Poicephalus meyeri saturatus,,,
Poicephalus meyeri matschiei,,,
Poicephalus meyeri reichenowi,,,
Poicephalus meyeri damarensis,,,
Poicephalus meyeri transvaalensis,,,
Poicephalus rueppellii,Rüppell's Parrot,rüppell's parrot,LC
Poicephalus rueppellii rueppellii,,,
Poicephalus rueppellii mariettae,,,
Poicephalus cryptoxanthus,Brown-headed Parrot,brown-headed parrot,LC
Poicephalus cryptoxanthus tanganyikae,,,
Poicephalus cryptoxanthus cryptoxanthus,,,
Poicephalus crassus,Niam-niam Parrot,niam-niam parrot,LC
Poicephalus rufiventris,Red-bellied Parrot,red-bellied parrot,LC
Poicephalus rufiventris pallidus,,,
Poicephalus rufiventris rufiventris,,,
Poicephalus senegalus,Senegal Parrot,periquito-massarongo,LC
Poicephalus senegalus senegalus,,,
Poicephalus senegalus versteri,,,
Poicephalus flavifrons,Yellow-fronted Parrot,yellow-fronted parrot,LC
Psilopsiagon,,,
Psilopsiagon aymara,Grey-hooded Parakeet,gray-hooded parakeet,LC
Psilopsiagon aurifrons,Mountain Parakeet,mountain parakeet,LC
Psilopsiagon aurifrons robertsi,,,
Psilopsiagon aurifrons aurifrons,,,
Psilopsiagon aurifrons margaritae,,,
Psilopsiagon aurifrons rubrirostris,,,
Nannopsittaca,,,
Nannopsittaca panychlora,Tepui Parrotlet,periquito-dos-tepuis,LC
Nannopsittaca dachilleae,Manu Parrotlet,periquito-da-amazônia,LC
Bolborhynchus,,,
Bolborhynchus lineola,Barred Parakeet,barred parakeet,LC
Bolborhynchus lineola lineola,,,
Bolborhynchus lineola tigrinus,,,
Bolborhynchus ferrugineifrons,Rufous-fronted Parakeet,rufous-fronted parakeet,VU
Bolborhynchus orbygnesius,Andean Parakeet,andean parakeet,LC
Touit,,,
Touit batavicus,Lilac-tailed Parrotlet,lilac-tailed parrotlet,LC
Touit huetii,Scarlet-shouldered Parrotlet,apuim-de-asa-vermelha,LC
Touit costaricensis,Red-fronted Parrotlet,red-fronted parrotlet,NT
Touit dilectissimus,Blue-fronted Parrotlet,blue-fronted parrotlet,LC
Touit purpuratus,Sapphire-rumped Parrotlet,apuim-de-costas-azuis,LC
Touit purpuratus purpuratus,,,
Touit purpuratus viridiceps,,,
Touit melanonotus,Brown-backed Parrotlet,apuim-de-costas-pretas,NT
Touit surdus,Golden-tailed Parrotlet,apuim-de-cauda-amarela,VU
Touit stictopterus,Spot-winged Parrotlet,spot-winged parrotlet,NT
Forpus,,,
Forpus modestus,Dusky-billed Parrotlet,periquito-santo-de-bico-escuro/do-norte,LC
Forpus modestus modestus,,,
Forpus modestus sclateri,,,
Forpus cyanopygius,Mexican Parrotlet,mexican parrotlet,NT
Forpus cyanopygius insularis,,,
Forpus cyanopygius cyanopygius,,,
Forpus spengeli,Turquoise-winged Parrotlet,turquoise-winged parrotlet,LC
Forpus crassirostris,Riparian Parrotlet,tuim-de-bico-grosso,NE
Forpus xanthopterygius,Cobalt-rumped Parrotlet,tuim,NE
Forpus xanthopterygius flavescens,,,
Forpus xanthopterygius flavissimus,,,
Forpus xanthopterygius xanthopterygius,,,
Forpus passerinus,Green-rumped Parrotlet,periquito-santo,LC
Forpus passerinus cyanophanes,,,
Forpus passerinus viridissimus,,,
Forpus passerinus passerinus,,,
Forpus passerinus cyanochlorus,,,
Forpus passerinus deliciosus,,,
Forpus conspicillatus,Spectacled Parrotlet,spectacled parrotlet,LC
Forpus conspicillatus conspicillatus,,,
Forpus conspicillatus metae,,,
Forpus conspicillatus caucae,,,
Forpus coelestis,Pacific Parrotlet,pacific parrotlet,LC
Forpus xanthops,Yellow-faced Parrotlet,yellow-faced parrotlet,VU
Myiopsitta,,,
Myiopsitta luchsi,Cliff Parakeet,cliff parakeet,NT
Myiopsitta monachus,Monk Parakeet,caturrita,LC
Myiopsitta monachus cotorra,,,
Myiopsitta monachus monachus,,,
Myiopsitta monachus calita,,,
Brotogeris,,,
Brotogeris sanctithomae,Tui Parakeet,periquito-testinha,LC
Brotogeris sanctithomae sanctithomae,,,
Brotogeris sanctithomae takatsukasae,,,
Brotogeris tirica,Plain Parakeet,periquito-rico,LC
Brotogeris versicolurus,White-winged Parakeet,periquito-da-campina,LC
Brotogeris chiriri,Yellow-chevroned Parakeet,periquito-de-encontro-amarelo,LC
Brotogeris chiriri chiriri,,,
Brotogeris chiriri behni,,,
Brotogeris pyrrhoptera,Grey-cheeked Parakeet,gray-cheeked parakeet,VU
Brotogeris jugularis,Orange-chinned Parakeet,orange-chinned parakeet,LC
Brotogeris jugularis jugularis,,,
Brotogeris jugularis exsul,,,
Brotogeris cyanoptera,Cobalt-winged Parakeet,periquito-de-asa-azul,LC
Brotogeris cyanoptera cyanoptera,,,
Brotogeris cyanoptera gustavi,,,
Brotogeris cyanoptera beniensis,,,
Brotogeris chrysoptera,Golden-winged Parakeet,periquito-de-asa-dourada,LC
Brotogeris chrysoptera chrysoptera,,,
Brotogeris chrysoptera tenuifrons,,,
Brotogeris chrysoptera solimoensis,,,
Brotogeris chrysoptera tuipara,,,
Brotogeris chrysoptera chrysosema,,,
Pionopsitta,,,
Pionopsitta pileata,Pileated Parrot,cuiú-cuiú,LC
Triclaria,,,
Triclaria malachitacea,Blue-bellied Parrot,sabiá-cica,LC
Hapalopsittaca,,,
Hapalopsittaca amazonina,Rusty-faced Parrot,rusty-faced parrot,NT
Hapalopsittaca amazonina theresae,,,
Hapalopsittaca amazonina velezi,,,
Hapalopsittaca amazonina amazonina,,,
Hapalopsittaca fuertesi,Fuertes's Parrot,indigo-winged parrot,EN
Hapalopsittaca pyrrhops,Red-faced Parrot,red-faced parrot,EN
Hapalopsittaca melanotis,Black-winged Parrot,black-winged parrot,LC
Hapalopsittaca melanotis peruviana,,,
Hapalopsittaca melanotis melanotis,,,
Pyrilia,,,
Pyrilia haematotis,Brown-hooded Parrot,brown-hooded parrot,LC
Pyrilia haematotis haematotis,,,
Pyrilia haematotis coccinicollaris,,,
Pyrilia pulchra,Rose-faced Parrot,rose-faced parrot,LC
Pyrilia pyrilia,Saffron-headed Parrot,saffron-headed parrot,NT
Pyrilia barrabandi,Orange-cheeked Parrot,curica-de-bochecha-laranja,LC
Pyrilia barrabandi barrabandi,,,
Pyrilia barrabandi aurantiigena,,,
Pyrilia caica,Caica Parrot,curica-de-chapéu-preto,LC
Pyrilia aurantiocephala,Bald Parrot,papagaio-de-cabeça-laranja,NT
Pyrilia vulturina,Vulturine Parrot,curica-urubu,LC
Graydidascalus,,,
Graydidascalus brachyurus,Short-tailed Parrot,curica-verde,LC
Alipiopsitta,,,
Alipiopsitta xanthops,Yellow-faced Parrot,papagaio-galego,NT
Pionus,,,
Pionus fuscus,Dusky Parrot,maitaca-roxa,LC
Pionus sordidus,Red-billed Parrot,red-billed parrot,LC
Pionus sordidus saturatus,,,
Pionus sordidus ponsi,,,
Pionus sordidus sordidus,,,
Pionus sordidus antelius,,,
Pionus sordidus corallinus,,,
Pionus sordidus mindoensis,,,
Pionus maximiliani,Scaly-headed Parrot,maitaca-verde,LC
Pionus maximiliani maximiliani,,,
Pionus maximiliani siy,,,
Pionus maximiliani lacerus,,,
Pionus maximiliani melanoblepharus,,,
Pionus tumultuosus,Speckle-faced Parrot,speckle-faced parrot,NE
Pionus tumultuosus tumultuosus,,,
Pionus tumultuosus seniloides,,,
Pionus menstruus,Blue-headed Parrot,maitaca-de-cabeça-azul/de-barriga-azul,NE
Pionus menstruus rubrigularis,,,
Pionus menstruus menstruus,,,
Pionus menstruus reichenowi,,,
Pionus senilis,White-crowned Parrot,white-crowned parrot,LC
Pionus chalcopterus,Bronze-winged Parrot,bronze-winged parrot,LC
Amazona,,,
Amazona festiva,Festive Amazon,papagaio-da-várzea,NE
Amazona festiva bodini,,,
Amazona festiva festiva,,,
Amazona vinacea,Vinaceous-breasted Amazon,papagaio-de-peito-roxo,EN
Amazona tucumana,Tucuman Amazon,tucuman amazon,VU
Amazona pretrei,Red-spectacled Amazon,papagaio-charão,VU
Amazona viridigenalis,Red-crowned Amazon,red-crowned amazon,EN
Amazona finschi,Lilac-crowned Amazon,lilac-crowned amazon,EN
Amazona autumnalis,Red-lored Amazon,red-lored amazon,LC
Amazona autumnalis autumnalis,,,
Amazona autumnalis salvini,,,
Amazona lilacina,Lilacine Amazon,lilacine amazon,CR
Amazona diadema,Diademed Amazon,papagaio-diadema,LC
Amazona dufresniana,Blue-cheeked Amazon,papagaio-de-bochecha-azul,NT
Amazona rhodocorytha,Red-browed Amazon,chauá,VU
Amazona arausiaca,Red-necked Amazon,red-necked amazon,VU
Amazona versicolor,St. Lucia Amazon,st. lucia amazon,VU
Amazona auropalliata,Yellow-naped Amazon,yellow-naped amazon,CR
Amazona auropalliata auropalliata,,,
Amazona auropalliata caribaea,,,
Amazona auropalliata parvipes,,,
Amazona oratrix,Yellow-headed Amazon,yellow-headed amazon,EN
Amazona oratrix oratrix,,,
Amazona oratrix belizensis,,,
Amazona oratrix hondurensis,,,
Amazona oratrix tresmariae,,,
Amazona ochrocephala,Yellow-crowned Amazon,papagaio-campeiro,LC
Amazona ochrocephala panamensis,,,
Amazona ochrocephala ochrocephala,,,
Amazona ochrocephala xantholaema,,,
Amazona ochrocephala nattereri,,,
Amazona barbadensis,Yellow-shouldered Amazon,yellow-shouldered amazon,NT
Amazona aestiva,Turquoise-fronted Amazon,papagaio-verdadeiro,NT
Amazona aestiva aestiva,,,
Amazona aestiva xanthopteryx,,,
Amazona agilis,Black-billed Amazon,black-billed amazon,EN
Amazona albifrons,White-fronted Amazon,white-fronted amazon,LC
Amazona albifrons saltuensis,,,
Amazona albifrons albifrons,,,
Amazona albifrons nana,,,
Amazona xantholora,Yucatan Amazon,yellow-lored amazon,LC
Amazona collaria,Yellow-billed Amazon,yellow-billed amazon,VU
Amazona leucocephala,Cuban Amazon,cuban amazon,NT
Amazona leucocephala bahamensis,,,
Amazona leucocephala leucocephala,,,
Amazona leucocephala caymanensis,,,
Amazona leucocephala hesterna,,,
Amazona ventralis,Hispaniolan Amazon,hispaniolan amazon,VU
Amazona vittata,Puerto Rican Amazon,puerto rican amazon,CR
Amazona vittata vittata,,,
Amazona vittata gracilipes,,,
Amazona farinosa,Mealy Amazon,papagaio-moleiro,NE
Amazona farinosa guatemalae,,,
Amazona farinosa virenticeps,,,
Amazona farinosa farinosa,,,
Amazona kawalli,Kawall's Amazon,papagaio-dos-garbes,LC
Amazona imperialis,Imperial Amazon,imperial amazon,CR
Amazona brasiliensis,Red-tailed Amazon,papagaio-de-cara-roxa,NT
Amazona guildingii,St. Vincent Amazon,st. vincent amazon,VU
Amazona amazonica,Orange-winged Amazon,curica,LC
Amazona mercenarius,Scaly-naped Amazon,scaly-naped amazon,LC
Amazona mercenarius canipalliata,,,
Amazona mercenarius mercenarius,,,
Deroptyus,,,
Deroptyus accipitrinus,Red-fan Parrot,anacã,LC
Deroptyus accipitrinus accipitrinus,,,
Deroptyus accipitrinus fuscifrons,,,
Pionites,,,
Pionites melanocephalus,Black-headed Parrot,marianinha-de-cabeça-preta,LC
Pionites melanocephalus melanocephalus,,,
Pionites melanocephalus pallidus,,,
Pionites leucogaster,White-bellied Parrot,marianinha-de-cabeça-amarela,NE
Pionites leucogaster xanthomerius,,,
Pionites leucogaster xanthurus,,,
Pionites leucogaster leucogaster,,,
Rhynchopsitta,,,
Rhynchopsitta pachyrhyncha,Thick-billed Parrot,thick-billed parrot,EN
Rhynchopsitta terrisi,Maroon-fronted Parrot,maroon-fronted parrot,EN
Pyrrhura,,,
Pyrrhura cruentata,Ochre-marked Parakeet,tiriba-grande,VU
Pyrrhura devillei,Blaze-winged Parakeet,tiriba-fogo,LC
Pyrrhura frontalis,Maroon-bellied Parakeet,tiriba-de-testa-vermelha,LC
Pyrrhura frontalis frontalis,,,
Pyrrhura frontalis chiripepe,,,
Pyrrhura lepida,Pearly Parakeet,tiriba-pérola,VU
Pyrrhura lepida lepida,,,
Pyrrhura lepida anerythra,,,
Pyrrhura lepida coerulescens,,,
Pyrrhura perlata,Crimson-bellied Parakeet,tiriba-de-barriga-vermelha,LC
Pyrrhura molinae,Green-cheeked Parakeet,cara-suja-do-pantanal,LC
Pyrrhura molinae flavoptera,,,
Pyrrhura molinae molinae,,,
Pyrrhura molinae phoenicura,,,
Pyrrhura molinae hypoxantha,,,
Pyrrhura molinae restricta,,,
Pyrrhura molinae australis,,,
Pyrrhura pfrimeri,Pfrimer's Parakeet,tiriba-do-paranã,EN
Pyrrhura griseipectus,Grey-breasted Parakeet,cara-suja,EN
Pyrrhura leucotis,White-eared Parakeet,tiriba-de-orelha-branca,VU
Pyrrhura picta,Painted Parakeet,tiriba-de-testa-azul,LC
Pyrrhura subandina,Subandean Parakeet,subandean parakeet,NE
