Scientific_name,English_name_AviList,Romanian,IUCN_Red_List_Category
Aythya fuligula,Tufted Duck,Rață moțată,LC
Aythya novaeseelandiae,New Zealand Scaup,New Zealand Scaup,LC
Aythya affinis,Lesser Scaup,Rață cucuiată mică,LC
Aythya marila,Greater Scaup,Rață cu cap negru,LC
Aythya marila marila,,,
Aythya marila nearctica,,,
Salvadorina,,,
Salvadorina waigiuensis,Salvadori's Teal,Salvadori's Teal,LC
Lophonetta,,,
Lophonetta specularioides,Crested Duck,Crested Duck,LC
Lophonetta specularioides alticola,,,
Lophonetta specularioides specularioides,,,
Speculanas,,,
Speculanas specularis,Bronze-winged Duck,Spectacled Duck,NT
Amazonetta,,,
Amazonetta brasiliensis,Brazilian Teal,Brazilian Teal,LC
Amazonetta brasiliensis brasiliensis,,,
Amazonetta brasiliensis ipecutiri,,,
Tachyeres,,,
Tachyeres patachonicus,Flying Steamer Duck,Flying Steamer-Duck,LC
Tachyeres pteneres,Fuegian Steamer Duck,Flightless Steamer-Duck,LC
Tachyeres brachypterus,Falkland Steamer Duck,Falkland Steamer-Duck,LC
Tachyeres leucocephalus,Chubut Steamer Duck,White-headed Steamer-Duck,VU
Sibirionetta,,,
Sibirionetta formosa,Baikal Teal,Rață mică de Baikal,LC
Spatula,,,
Spatula querquedula,Garganey,Rață cârâitoare,LC
Spatula hottentota,Blue-billed Teal,Blue-billed Teal,LC
Spatula puna,Puna Teal,Puna Teal,LC
Spatula versicolor,Silver Teal,Silver Teal,LC
Spatula versicolor versicolor,,,
Spatula versicolor fretensis,,,
Spatula platalea,Red Shoveler,Red Shoveler,LC
Spatula discors,Blue-winged Teal,Rață mică cu aripi albastre,LC
Spatula cyanoptera,Cinnamon Teal,Rață cărămizie,LC
Spatula cyanoptera septentrionalium,,,
Spatula cyanoptera tropica,,,
Spatula cyanoptera borreroi,,,
Spatula cyanoptera orinoma,,,
Spatula cyanoptera cyanoptera,,,
Spatula smithii,Cape Shoveler,Cape Shoveler,LC
Spatula clypeata,Northern Shoveler,Rață lingurar,LC
Spatula rhynchotis,Australasian Shoveler,Australasian Shoveler,LC
Spatula rhynchotis rhynchotis,,,
Spatula rhynchotis variegata,,,
Mareca,,,
Mareca falcata,Falcated Duck,Rață mică siberiană,LC
Mareca strepera,Gadwall,Rață pestriță,LC
Mareca strepera strepera,,,
Mareca strepera couesi,,,
Mareca marecula,Amsterdam Wigeon,Amsterdam Duck,EX
Mareca penelope,Eurasian Wigeon,Rață fluierătoare,LC
Mareca americana,American Wigeon,Rață fluierătoare americană,LC
Mareca sibilatrix,Chiloe Wigeon,Chiloe Wigeon,LC
Anas,,,
Anas sparsa,African Black Duck,African Black Duck,LC
Anas sparsa leucostigma,,,
Anas sparsa sparsa,,,
Anas melleri,Meller's Duck,Meller's Duck,EN
Anas undulata,Yellow-billed Duck,Yellow-billed Duck,LC
Anas undulata ruppelli,,,
Anas undulata undulata,,,
Anas luzonica,Philippine Duck,Philippine Duck,LC
Anas superciliosa,Pacific Black Duck,Pacific Black Duck,LC
Anas superciliosa superciliosa,,,
Anas superciliosa pelewensis,,,
Anas wyvilliana,Hawaiian Duck,Hawaiian Duck,VU
Anas laysanensis,Laysan Duck,Laysan Duck,CR
